"PASSENGERS","DISTANCE","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","YEAR","MONTH",
2794.00,1322.00,"UA","United Air Lines Inc.",14312,"PVR","Puerto Vallarta, Mexico",11292,"DEN","Denver, CO",2021,2,
2794.00,2201.00,"UA","United Air Lines Inc.",14838,"SJO","San Jose, Costa Rica",11618,"EWR","Newark, NJ",2021,2,
2795.00,1806.00,"B6","JetBlue Airways",11697,"FLL","Fort Lauderdale, FL",15455,"UIO","Quito, Ecuador",2021,6,
2795.00,1096.00,"B6","JetBlue Airways",13605,"NAS","Nassau, The Bahamas",12478,"JFK","New York, NY",2021,5,
2795.00,1064.00,"AA","American Airlines Inc.",11057,"CLT","Charlotte, NC",14153,"PLS","Providenciales, Turks and Caicos Islands",2021,2,
2796.00,1366.00,"Y4","Concesionaria Vuela Compania De Aviacion SA de CV (Volaris)",10638,"BJX","Leon/Guanajuato, Mexico",12892,"LAX","Los Angeles, CA",2021,7,
2796.00,1685.00,"AM","Aeromexico",13930,"ORD","Chicago, IL",13252,"MEX","Mexico City, Mexico",2021,2,
2797.00,4343.00,"UA","United Air Lines Inc.",13930,"ORD","Chicago, IL",11760,"FRA","Frankfurt, Germany",2021,2,
2797.00,669.00,"NK","Spirit Air Lines",10878,"CAP","Cap-Haitien, Haiti",11697,"FLL","Fort Lauderdale, FL",2021,5,
2798.00,4750.00,"BA","British Airways Plc",12972,"LHR","London, United Kingdom",11298,"DFW","Dallas/Fort Worth, TX",2021,6,
2798.00,1347.00,"AA","American Airlines Inc.",11057,"CLT","Charlotte, NC",14739,"SDQ","Santo Domingo, Dominican Republic",2021,4,
2799.00,1760.00,"AA","American Airlines Inc.",11032,"CUN","Cancun, Mexico",14107,"PHX","Phoenix, AZ",2021,2,
2799.00,899.00,"UA","United Air Lines Inc.",16257,"YYC","Calgary, Canada",11292,"DEN","Denver, CO",2021,1,
